id,booking_status
42100,1
42101,0
42102,0
42103,0
42104,0
42105,1
42106,1
42107,1
42108,0
42109,0
42110,0
42111,1
42112,0
42113,0
42114,0
42115,1
42116,0
42117,1
42118,1
42119,1
42120,1
42121,0
42122,0
42123,1
42124,1
42125,0
42126,0
42127,0
42128,0
42129,1
42130,1
42131,1
42132,0
42133,1
42134,1
42135,0
42136,0
42137,1
42138,1
42139,1
42140,0
42141,0
42142,1
42143,1
42144,0
42145,0
42146,0
42147,1
42148,0
42149,1
42150,0
42151,0
42152,1
42153,0
42154,1
42155,1
42156,1
42157,0
42158,0
42159,1
42160,1
42161,0
42162,0
42163,0
42164,1
42165,1
42166,0
42167,0
42168,0
42169,1
42170,0
42171,0
42172,1
42173,0
42174,0
42175,0
42176,1
42177,0
42178,0
42179,1
42180,0
42181,1
42182,1
42183,1
42184,0
42185,0
42186,0
42187,0
42188,0
42189,0
42190,1
42191,1
42192,0
42193,1
42194,0
42195,1
42196,1
42197,0
42198,0
42199,1
42200,1
42201,1
42202,1
42203,0
42204,0
42205,0
42206,0
42207,1
42208,0
42209,1
42210,1
42211,0
42212,0
42213,1
42214,0
42215,1
42216,1
42217,0
42218,0
42219,0
42220,1
42221,1
42222,1
42223,0
42224,1
42225,1
42226,1
42227,0
42228,1
42229,0
42230,0
42231,1
42232,1
42233,0
42234,1
42235,1
42236,0
42237,0
42238,0
42239,0
42240,1
42241,1
42242,0
42243,1
42244,0
42245,0
42246,1
42247,1
42248,0
42249,1
42250,1
42251,0
42252,1
42253,1
42254,1
42255,0
42256,1
42257,0
42258,0
42259,1
42260,0
42261,1
42262,1
42263,1
42264,0
42265,1
42266,0
42267,0
42268,1
42269,0
42270,1
42271,1
42272,0
42273,0
42274,1
42275,0
42276,1
42277,0
42278,1
42279,1
42280,0
42281,0
42282,1
42283,0
42284,0
42285,0
42286,0
42287,1
42288,0
42289,1
42290,0
42291,1
42292,0
42293,0
42294,1
42295,1
42296,0
42297,0
42298,0
42299,0
42300,1
42301,1
42302,1
42303,0
42304,0
42305,0
42306,0
42307,0
42308,0
42309,0
42310,0
42311,1
42312,0
42313,1
42314,0
42315,0
42316,1
42317,0
42318,0
42319,0
42320,0
42321,1
42322,1
42323,0
42324,0
42325,0
42326,1
42327,0
42328,0
42329,0
42330,1
42331,0
42332,1
42333,0
42334,0
42335,0
42336,0
42337,1
42338,1
42339,0
42340,0
42341,0
42342,1
42343,1
42344,1
42345,0
42346,1
42347,0
42348,1
42349,0
42350,0
42351,0
42352,0
42353,1
42354,0
42355,1
42356,1
42357,0
42358,1
42359,0
42360,1
42361,0
42362,0
42363,0
42364,0
42365,0
42366,1
42367,0
42368,1
42369,1
42370,0
42371,0
42372,1
42373,1
42374,1
42375,1
42376,0
42377,1
42378,0
42379,0
42380,0
42381,1
42382,1
42383,1
42384,1
42385,0
42386,0
42387,0
42388,0
42389,0
42390,1
42391,1
42392,0
42393,0
42394,1
42395,0
42396,0
42397,1
42398,0
42399,1
42400,1
42401,1
42402,1
42403,1
42404,0
42405,0
42406,1
42407,0
42408,0
42409,0
42410,1
42411,0
42412,1
42413,0
42414,0
42415,0
42416,0
42417,0
42418,0
42419,1
42420,0
42421,1
42422,1
42423,0
42424,1
42425,1
42426,1
42427,0
42428,1
42429,1
42430,1
42431,0
42432,1
42433,0
42434,0
42435,0
42436,1
42437,1
42438,0
42439,1
42440,0
42441,1
42442,0
42443,0
42444,0
42445,0
42446,1
42447,0
42448,0
42449,0
42450,0
42451,0
42452,0
42453,0
42454,0
42455,1
42456,1
42457,0
42458,1
42459,1
42460,1
42461,0
42462,0
42463,1
42464,1
42465,0
42466,1
42467,1
42468,0
42469,0
42470,0
42471,0
42472,0
42473,0
42474,1
42475,0
42476,0
42477,1
42478,1
42479,0
42480,0
42481,0
42482,0
42483,1
42484,0
42485,1
42486,0
42487,0
42488,0
42489,0
42490,0
42491,1
42492,1
42493,0
42494,1
42495,0
42496,1
42497,0
42498,0
42499,0
42500,0
42501,1
42502,0
42503,1
42504,0
42505,0
42506,1
42507,0
42508,0
42509,1
42510,1
42511,1
42512,0
42513,0
42514,0
42515,1
42516,1
42517,1
42518,1
42519,1
42520,0
42521,0
42522,1
42523,1
42524,1
42525,0
42526,1
42527,1
42528,1
42529,0
42530,1
42531,1
42532,0
42533,1
42534,0
42535,1
42536,0
42537,0
42538,0
42539,0
42540,0
42541,0
42542,0
42543,1
42544,0
42545,1
42546,0
42547,0
42548,1
42549,0
42550,1
42551,1
42552,1
42553,0
42554,1
42555,0
42556,0
42557,1
42558,1
42559,1
42560,0
42561,0
42562,1
42563,1
42564,1
42565,1
42566,1
42567,0
42568,0
42569,0
42570,0
42571,0
42572,0
42573,0
42574,1
42575,1
42576,1
42577,0
42578,0
42579,0
42580,0
42581,1
42582,0
42583,0
42584,0
42585,0
42586,1
42587,1
42588,1
42589,0
42590,1
42591,0
42592,0
42593,0
42594,0
42595,1
42596,1
42597,0
42598,1
42599,0
42600,0
42601,1
42602,1
42603,1
42604,1
42605,1
42606,1
42607,0
42608,0
42609,0
42610,0
42611,0
42612,0
42613,0
42614,0
42615,0
42616,0
42617,0
42618,1
42619,0
42620,0
42621,1
42622,0
42623,1
42624,0
42625,0
42626,1
42627,0
42628,1
42629,1
42630,1
42631,0
42632,0
42633,0
42634,0
42635,0
42636,1
42637,1
42638,0
42639,0
42640,0
42641,0
42642,0
42643,1
42644,1
42645,1
42646,0
42647,0
42648,0
42649,0
42650,1
42651,1
42652,0
42653,0
42654,0
42655,0
42656,1
42657,1
42658,0
42659,0
42660,1
42661,0
42662,1
42663,0
42664,0
42665,0
42666,0
42667,1
42668,0
42669,0
42670,0
42671,0
42672,1
42673,0
42674,0
42675,0
42676,1
42677,1
42678,0
42679,0
42680,0
42681,0
42682,1
42683,1
42684,0
42685,0
42686,0
42687,0
42688,1
42689,1
42690,1
42691,0
42692,0
42693,1
42694,0
42695,1
42696,1
42697,0
42698,0
42699,1
42700,0
42701,0
42702,0
42703,0
42704,0
42705,0
42706,0
42707,0
42708,0
42709,0
42710,0
42711,0
42712,1
42713,0
42714,0
42715,0
42716,1
42717,0
42718,0
42719,0
42720,1
42721,1
42722,1
42723,1
42724,1
42725,0
42726,0
42727,1
42728,0
42729,1
42730,0
42731,0
42732,1
42733,0
42734,0
42735,0
42736,1
42737,1
42738,0
42739,0
42740,1
42741,1
42742,0
42743,1
42744,1
42745,0
42746,0
42747,0
42748,1
42749,1
42750,1
42751,0
42752,0
42753,1
42754,0
42755,0
42756,1
42757,0
42758,1
42759,0
42760,1
42761,0
42762,1
42763,0
42764,1
42765,1
42766,0
42767,0
42768,0
42769,0
42770,0
42771,1
42772,0
42773,0
42774,0
42775,0
42776,0
42777,0
42778,0
42779,0
42780,0
42781,1
42782,0
42783,1
42784,1
42785,0
42786,0
42787,0
42788,1
42789,1
42790,1
42791,0
42792,0
42793,0
42794,0
42795,0
42796,1
42797,0
42798,1
42799,0
42800,0
42801,0
42802,0
42803,0
42804,0
42805,0
42806,1
42807,0
42808,0
42809,1
42810,1
42811,0
42812,0
42813,0
42814,0
42815,0
42816,0
42817,0
42818,0
42819,0
42820,1
42821,0
42822,0
42823,1
42824,0
42825,0
42826,1
42827,0
42828,0
42829,1
42830,1
42831,1
42832,0
42833,0
42834,0
42835,1
42836,0
42837,1
42838,0
42839,1
42840,0
42841,0
42842,0
42843,1
42844,0
42845,1
42846,0
42847,1
42848,0
42849,0
42850,0
42851,1
42852,1
42853,1
42854,0
42855,0
42856,0
42857,1
42858,0
42859,0
42860,0
42861,0
42862,0
42863,0
42864,1
42865,0
42866,0
42867,1
42868,1
42869,0
42870,0
42871,1
42872,1
42873,0
42874,0
42875,1
42876,1
42877,0
42878,1
42879,1
42880,0
42881,0
42882,1
42883,1
42884,0
42885,1
42886,1
42887,0
42888,0
42889,1
42890,0
42891,0
42892,0
42893,0
42894,0
42895,1
42896,0
42897,0
42898,1
42899,0
42900,1
42901,0
42902,0
42903,0
42904,1
42905,0
42906,0
42907,0
42908,1
42909,1
42910,0
42911,1
42912,1
42913,0
42914,0
42915,0
42916,0
42917,0
42918,1
42919,1
42920,1
42921,1
42922,1
42923,1
42924,0
42925,0
42926,0
42927,0
42928,0
42929,0
42930,0
42931,0
42932,1
42933,0
42934,1
42935,1
42936,1
42937,0
42938,1
42939,1
42940,0
42941,0
42942,1
42943,1
42944,1
42945,0
42946,1
42947,0
42948,1
42949,0
42950,1
42951,0
42952,0
42953,1
42954,0
42955,1
42956,1
42957,1
42958,0
42959,0
42960,0
42961,0
42962,1
42963,0
42964,0
42965,0
42966,1
42967,0
42968,0
42969,1
42970,0
42971,1
42972,1
42973,0
42974,0
42975,0
42976,1
42977,0
42978,1
42979,0
42980,1
42981,1
42982,0
42983,1
42984,1
42985,0
42986,1
42987,1
42988,0
42989,1
42990,1
42991,0
42992,0
42993,0
42994,0
42995,1
42996,1
42997,1
42998,1
42999,1
43000,0
43001,0
43002,0
43003,1
43004,0
43005,1
43006,0
43007,0
43008,1
43009,0
43010,1
43011,0
43012,0
43013,0
43014,1
43015,0
43016,1
43017,0
43018,0
43019,0
43020,1
43021,0
43022,1
43023,1
43024,1
43025,1
43026,1
43027,0
43028,1
43029,0
43030,1
43031,0
43032,0
43033,0
43034,0
43035,1
43036,0
43037,0
43038,1
43039,0
43040,1
43041,0
43042,0
43043,1
43044,0
43045,0
43046,0
43047,0
43048,0
43049,1
43050,1
43051,0
43052,0
43053,0
43054,0
43055,0
43056,0
43057,0
43058,1
43059,1
43060,0
43061,0
43062,1
43063,1
43064,1
43065,1
43066,0
43067,1
43068,1
43069,0
43070,0
43071,0
43072,0
43073,0
43074,0
43075,0
43076,0
43077,1
43078,0
43079,0
43080,0
43081,0
43082,0
43083,1
43084,0
43085,0
43086,0
43087,0
43088,1
43089,1
43090,0
43091,1
43092,0
43093,1
43094,1
43095,0
43096,1
43097,0
43098,0
43099,1
43100,1
43101,0
43102,0
43103,0
43104,0
43105,0
43106,1
43107,1
